tf_code,tf_name,sf_code,sf_name,distance_km
5669m9,سوپر پروتئین حمید,l2domn,سوپر گوشت حمید,0.025673982
566ml3,کافه رستوران منچ,r55jw1,کافه رستوران مـنـچ کلاب,0.010439828
566p18,فست فود شیروونی ,r557ev,سمبوسه فروشی شیروونی,0.006422148
566pw6,فست فود پاچینی مستر پیتزا,o9ygjv,فست فود پاچینی مستر پیتزا,0.011120425
5694pp,تهیه غذای خانه والاد,p46onj,تهیه غذا والاد,0.004667542
5698xo,لواشی قائم,dqg4od,نان لواش قائم,0.029102461
569kw3,آش و حلیم خانواده جوان (شعبه استخر),p4wzk5,رستوران و فست فود خانواده جوان (استخر-شعبه 2),0.264036995
569lrn,آشکده داش محمدعلی,o9ylqv,آش و حلیم دآش محمدعلی,0.021858912
569z49,ساندویچ خانلری,7joon9,ساندویچی خانلری (تجریش),0.010682335
56k372,قنادی خالقی,7j9eyn,قنادی خالقی,0.0314965
56km72,بستنی کاکو مهدی,qylj4y,بستنی کاکو مهدی,0.00880721
56rlko,مستر سوخاری,kl9vqk,مستر سوخاری,0.368485004
56rnwz,هایپر میوه بلومی,gnko6q,هایپرمیوه بلومی,0.014304442
56rxmp,میوه فروشی کوهستان,dq7wdw,سوپرمیوه کوهستان,0.006327891
56rxn8,سنگک سنتی شفق (شعبه دو),277v4l,نان سنگک شفق (شعبه 2),0.035390083
56ry7m,دیزی سرای بهارستان,0jv6yg,سنتی سرای بهارستان,0.09798811
57163r,رستوران دلتا ,7jyqvn,رستوران دلتا,0.00857988
571779,بریانکده هارپی,0mzmez,بریانکده هارپی,0.037610893
5717wn,شیرینی و آجیل داغ,09wgrn,نان و شیرینی داغ,0.039953316
571m76, کبابسرای یاس,0wlykg,کره کباب یاس,0.097112902
571wog,کافه ابمیوه بستنی آلما آیس,y1geod,آبمیوه بستنی آلما,0.025898567
577mpx,قهوه بیرون بر74,gnyy7m,قهوه بیرون بر 74,0.005931281
57m6l9,فست فود و بریانی پاچین نو,0ylnrr,مرغ بریان پاچین نو,0.039038423
57mg9x,حاجی ارزونی ری ,dq7v9d,ارزان سرای میوه باغ بهشت ایران,0.270480096
57mmzm,سوپر میوه ارکیده ,0yqdzn,میوه ارکیده,0.042470577
57mwrr,قهوه کازان,mej1mo,کافه کازان,0.011870062
57mzw6,آبمیوه بستنی میبه,jyrv16,آبمیوه بستنی میبه,0.010530746
5868pk,کترینگ شاهین,09o4zq,رستوران شاهین,0.012786424
586n31,تره بار باغ فیض,znejre,میوه باغ فیض,0.009092409
586o66,نانوایی سنگک رمضانی,27qgoq,سنگکی رمضانی,0.0078359
586o7x,نانوایی تافتون سنتی برکت,379n29,تافتون سنتی برکت (سعیدی),0.009306062
586onn,جگرکی کوهپایه,94egly,کباب و جگر کوهپایه,0.016307572
586pz6,اغذیه رز,0m6olq,فست فود رز,0.029474572
586x19,نانوایی سنگکی رضوی,0jmlqv,نان سنگک رضوی (آزادپز),0.026714896
58k61k,کترینگ گلها,94yqon,رستوران بگیر و ببر گلها,0.014729868
58k7r4,آندره زعفرانیه (مقدس اردبیلی),kl954n,پروتئین آندره (مقدس اردبیلی),0.008116788
58kz96,نانوایی لواش 180,xd1ojy,نان لواش ۱۸۰,0.029656795
58p369,ایستگاه ذرت یامی,0mdmrv,ذرت یامی شیراز,0.032220037
58p847,مجتمع نان آزادی (آزادپز),12v5m4,نانوایی ناصری (شعبه آزادی - آزادپز),0.046531333
58pwx1,نان و شیرنی گندم زار,nnn9m6,نان فانتزی گندم زار,0.03451828
58pyl8,میوه فروشی و سبزی خردکنی مهربانو,klwy1q,سبزی خرد کنی مهربانو (نیرو هوایی),0.059631163
58w782,کافه دنج,wdzz58,کافه دنج,0.230498973
59478r,رستوران خان بابا,xdwj82,رستوران خان بابا,0.020056602
594ngl,کافه دیلی,gnymxq,کافه دیلی,0.352704682
594o1p,کبابسرای اصیل ایرانیان( گلپایگانی),p8q7vg,کبابسرای اصیل ایرانیان( گلپایگانی),0.011738948
594pyp,میوه سرای منصف اصلی,y1gwzd,میوه فروشی منصف,0.198036405
594x6m,تهیه غذای بلدرچین (باغ فیض),6d2y6o,تهیه غذای بلدرچین (باغ فیض),0.237485378
594ykx,نان لواش مرجانی,gnrw2m,نانوایی لواش مرجانی,0.010039996
594zrw,کافه رستوران فورلی,949gzq,فست فود فور لی,0.014963164
596r42,سوپر میوه احمد,gng1lx,سرای میوه شعبه احمد آباد,0.374746601
59n966,رستوران میزنون,5oq5jx,فست فود میزنون,0.015340574
59no37,کافسیدو,mej7er,کافه کافسیدو (شعبه امیرآباد),0.076067424
59nrw7,کترینگ ته چین طلایی ,6d2j4g,رستوران ته چین طلایی (شعبه دوم),0.014833232
59nwlz,هات داگتو بخور,mey8lv,هات داگ تو,0.073176322
59nx49,نانوایی سنگک برکت,09vz8n,سنگک سنتی برکت (شعبه مسعودیه),0.090441959
59pkg2,سوپر میوه دستچین,o9yln8,میوه فروشی دستچین,0
59x43l,کافه لاین,44zyyx,کافی شاپ لاین,0.025960885
